zip_path,reactant_metal_oxidation_states,product_metal_oxidation_states
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acs.organomet.7b00767/Possible-TS-XYZ/trans_12_re_Fig5_TS14_0_1.zip,Hf90:2,Hf90:2
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D2SC01926D/d2sc01926d1/07_0_1.zip,Ta0:1,Ta0:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D2SC01926D/d2sc01926d1/03_0_1.zip,Ta0:1,Ta0:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D4CC02207F/d4cc02207f1/13_0_1.zip,Ta1:3;Os3:4,Ta1:3;Os3:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D4CC02207F/d4cc02207f1/18_0_1.zip,Ta0:5;Ir4:5,Ta0:3;Ir4:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D4CC02207F/d4cc02207f1/20_0_1.zip,Os5:4;Ta6:3,Os5:4;Ta6:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acs.inorgchem.7b01464/ic7b01464_si_001/118_0_1.zip,Ta0:5,Ta0:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/cs400349p/cs400349p_si_001/22_0_1.zip,Ta12:5,Ta12:5
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/om300421m/om300421m_si_004/04_0_1.zip,Ta0:0,Ta0:0
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/B907335C/b907335c/19_0_1.zip,Zr0:4,Zr0:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/B907335C/b907335c/06_0_1.zip,Zr0:4,Zr0:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/B907335C/b907335c/15_0_1.zip,Zr0:4,Zr0:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/B907335C/b907335c/20_0_1.zip,Zr0:4,Zr0:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/B907335C/b907335c/22_0_1.zip,Zr0:4,Zr0:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/jacs.0c03821/ja0c03821_si_001/14_0_1.zip,Zr0:4,Zr0:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/cs5016436/cs5016436_si_001/68_0_2.zip,Zr13:3,Zr13:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/om5003655/om5003655_si_002/273_Kol_tBuPh2_Zr_Me_Prn21_up_insTS.xyz_0_2.zip,Zr0:1,Zr0:1
